Tran	Gene
ENSRNOT00000000008	ENSRNOG00000000007
ENSRNOT00000000009	ENSRNOG00000000008
ENSRNOT00000000010	ENSRNOG00000000009
ENSRNOT00000000011	ENSRNOG00000000010
ENSRNOT00000000013	ENSRNOG00000000012
ENSRNOT00000000018	ENSRNOG00000000017
ENSRNOT00000000022	ENSRNOG00000000021
ENSRNOT00000000025	ENSRNOG00000000024
ENSRNOT00000000026	ENSRNOG00000010388
ENSRNOT00000000036	ENSRNOG00000000033
ENSRNOT00000000037	ENSRNOG00000024207
ENSRNOT00000000039	ENSRNOG00000000034
ENSRNOT00000000040	ENSRNOG00000000035
ENSRNOT00000000041	ENSRNOG00000000036
ENSRNOT00000000047	ENSRNOG00000000041
ENSRNOT00000000048	ENSRNOG00000000043
ENSRNOT00000000049	ENSRNOG00000000042
ENSRNOT00000000050	ENSRNOG00000000044
ENSRNOT00000000052	ENSRNOG00000000047
ENSRNOT00000000053	ENSRNOG00000004698
ENSRNOT00000000058	ENSRNOG00000000053
ENSRNOT00000000059	ENSRNOG00000000055
ENSRNOT00000000060	ENSRNOG00000000054
ENSRNOT00000000064	ENSRNOG00000000048
ENSRNOT00000000071	ENSRNOG00000000062
ENSRNOT00000000072	ENSRNOG00000000064
ENSRNOT00000000074	ENSRNOG00000000066
ENSRNOT00000000077	ENSRNOG00000000065
ENSRNOT00000000078	ENSRNOG00000000068
ENSRNOT00000000079	ENSRNOG00000010580
ENSRNOT00000000080	ENSRNOG00000000070
ENSRNOT00000000083	ENSRNOG00000000073
ENSRNOT00000000086	ENSRNOG00000000075
ENSRNOT00000000092	ENSRNOG00000000081
ENSRNOT00000000101	ENSRNOG00000028382
ENSRNOT00000000102	ENSRNOG00000000091
ENSRNOT00000000106	ENSRNOG00000000095
ENSRNOT00000000107	ENSRNOG00000000096
ENSRNOT00000000109	ENSRNOG00000000097
ENSRNOT00000000110	ENSRNOG00000000098
ENSRNOT00000000116	ENSRNOG00000000104
ENSRNOT00000000117	ENSRNOG00000000105
ENSRNOT00000000120	ENSRNOG00000000108
ENSRNOT00000000121	ENSRNOG00000000109
ENSRNOT00000000123	ENSRNOG00000000111
ENSRNOT00000000124	ENSRNOG00000000112
ENSRNOT00000000125	ENSRNOG00000000113
ENSRNOT00000000133	ENSRNOG00000000121
ENSRNOT00000000134	ENSRNOG00000000122
ENSRNOT00000000136	ENSRNOG00000000124
ENSRNOT00000000139	ENSRNOG00000000127
ENSRNOT00000000141	ENSRNOG00000000129
ENSRNOT00000000142	ENSRNOG00000000130
ENSRNOT00000000146	ENSRNOG00000000133
ENSRNOT00000000149	ENSRNOG00000000137
ENSRNOT00000000155	ENSRNOG00000000142
ENSRNOT00000000157	ENSRNOG00000000145
ENSRNOT00000000158	ENSRNOG00000049452
ENSRNOT00000000162	ENSRNOG00000000150
ENSRNOT00000000163	ENSRNOG00000000151
ENSRNOT00000000167	ENSRNOG00000027731
ENSRNOT00000000168	ENSRNOG00000000155
ENSRNOT00000000169	ENSRNOG00000000156
ENSRNOT00000000170	ENSRNOG00000000157
ENSRNOT00000000172	ENSRNOG00000000158
ENSRNOT00000000173	ENSRNOG00000024138
ENSRNOT00000000174	ENSRNOG00000000161
ENSRNOT00000000177	ENSRNOG00000000164
ENSRNOT00000000178	ENSRNOG00000000165
ENSRNOT00000000180	ENSRNOG00000000167
ENSRNOT00000000181	ENSRNOG00000000168
ENSRNOT00000000184	ENSRNOG00000000170
ENSRNOT00000000193	ENSRNOG00000000177
ENSRNOT00000000199	ENSRNOG00000027238
ENSRNOT00000000200	ENSRNOG00000000184
ENSRNOT00000000201	ENSRNOG00000000185
ENSRNOT00000000203	ENSRNOG00000000187
ENSRNOT00000000205	ENSRNOG00000024631
ENSRNOT00000000206	ENSRNOG00000000190
ENSRNOT00000000211	ENSRNOG00000046414
